Separate house;685,824;1,887,144
;;
Semi-detached, row or terrace house, townhouse etc. with:;;
    One storey;92,201;180,511
    Two or more storeys;30,361;66,097
    Total;122,560;246,602
;;
Flat or apartment:;;
    In a one or two storey block;20,435;34,223
    In a three storey block;11,596;19,686
    In a four or more storey block;16,970;29,631
    Attached to a house;85;137
    Total;49,084;83,674
;;
Other dwelling:;;
    Caravan;3,279;5,321
    Cabin, houseboat;1,402;2,196
    Improvised home, tent, sleepers out;565;1,252
    House or flat attached to a shop, office, etc.;1,068;2,578
    Total;6,323;11,349
