POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA6000,0,4,0,231,0,0,0,3,0,0,0,3,0,0,138,155,0,0,0,0,0,0,0,0,0,3,4,6,546,83,17,234,27,217,10,72,12,135,141,1499
POA6003,0,3,0,65,0,0,0,0,0,0,0,0,0,0,35,34,0,0,0,0,0,0,0,0,0,0,5,5,184,33,3,70,7,57,0,16,0,53,39,465
POA6004,4,15,0,267,3,5,0,3,3,7,0,0,0,6,155,177,0,0,0,0,0,0,0,0,0,0,3,8,544,96,18,226,24,245,9,90,20,216,154,1629
POA6005,0,14,0,165,3,0,0,0,0,0,0,0,0,0,85,94,4,0,0,0,0,0,0,0,0,0,0,5,301,49,8,122,12,105,3,50,8,89,86,827
POA6006,0,5,0,196,0,0,0,0,0,3,0,0,0,3,59,68,0,0,0,0,0,0,0,0,0,10,4,14,296,35,3,139,11,94,4,66,4,178,60,884
POA6007,0,5,0,199,3,0,0,0,3,0,0,0,0,0,76,83,4,0,0,0,0,0,0,0,0,3,0,13,307,56,8,120,18,84,5,52,6,125,80,868
POA6008,0,34,0,346,3,0,0,3,0,0,0,0,0,0,127,145,3,0,0,0,0,0,0,0,0,0,3,12,457,91,15,217,18,196,10,150,12,354,136,1653
POA6009,3,84,0,408,0,0,0,4,0,0,0,0,0,13,122,143,0,0,0,0,0,3,0,0,0,3,3,16,208,86,5,188,19,182,7,189,13,555,130,1590
POA6010,4,66,0,378,3,0,0,3,0,4,0,4,0,7,131,151,0,0,0,0,0,0,0,0,0,9,7,22,254,99,5,218,10,160,8,168,15,575,141,1649
POA6011,3,40,0,310,3,0,0,0,0,0,0,0,0,3,78,90,0,0,0,0,0,0,0,0,0,7,6,13,181,50,5,126,10,106,11,103,11,244,83,939
POA6012,3,31,0,195,3,0,0,0,0,0,0,0,0,5,70,86,0,0,0,0,0,0,0,0,0,0,0,4,179,66,3,116,7,87,0,76,9,239,75,864
POA6014,0,28,0,286,3,0,0,3,0,4,0,0,0,8,137,162,0,3,0,0,0,0,0,0,0,5,4,13,371,142,13,275,27,188,8,136,12,556,148,1881
POA6015,0,38,0,166,0,0,0,0,0,0,0,0,0,13,49,61,0,0,3,0,0,0,0,0,0,3,3,10,60,34,3,70,9,52,0,76,8,301,56,664
POA6016,3,3,0,148,3,0,0,0,0,0,0,3,0,4,77,95,4,0,0,0,0,0,0,0,0,5,0,6,315,81,3,150,13,82,12,46,13,149,86,944
POA6017,0,0,0,16,0,0,0,0,0,0,0,0,0,4,35,43,0,0,0,0,0,0,0,0,0,0,7,8,153,42,4,78,12,57,4,27,3,68,45,486
POA6018,0,22,3,500,10,6,3,0,0,3,0,0,0,23,352,395,3,0,3,0,0,0,0,0,0,29,15,60,1065,155,27,515,63,320,27,256,23,1153,383,3987
POA6019,0,15,0,341,12,0,0,0,0,0,0,0,0,9,234,259,3,0,0,0,0,0,0,0,0,3,9,21,812,139,22,336,40,197,11,162,17,533,248,2525
POA6020,0,32,0,322,0,0,0,3,0,6,0,3,0,10,162,181,3,0,0,3,0,0,0,0,0,12,8,22,353,136,9,318,23,212,17,247,24,893,179,2410
POA6021,0,8,0,172,0,0,0,3,0,0,0,4,0,13,122,152,0,0,0,3,0,0,0,0,0,20,14,38,476,87,12,254,36,199,19,138,15,777,155,2167
POA6022,0,3,0,29,0,0,0,0,0,0,0,4,0,3,33,44,0,0,0,0,0,0,0,0,0,5,3,5,108,31,5,71,16,44,0,52,4,221,38,595
POA6023,0,10,0,148,3,0,0,0,0,8,0,0,0,5,93,113,0,0,0,3,0,3,0,0,0,11,3,22,240,72,3,185,13,150,15,134,12,585,103,1514
POA6024,0,3,0,80,4,4,0,3,0,4,0,0,0,7,86,111,0,0,0,0,3,0,0,0,0,8,7,21,311,63,13,178,29,153,20,134,21,548,96,1549
POA6025,0,16,0,294,3,0,0,6,0,4,0,7,0,22,248,293,4,0,0,0,0,0,0,3,0,17,17,51,693,156,18,451,50,325,23,244,53,1022,267,3310
POA6026,0,9,0,169,3,0,0,0,3,0,0,4,0,20,133,169,0,0,0,4,0,3,0,3,0,21,5,37,371,91,13,362,27,236,15,199,31,814,158,2315
POA6027,0,16,0,264,12,3,0,7,0,5,0,0,0,21,327,386,9,0,3,6,0,4,0,0,0,34,16,70,986,217,33,653,71,479,41,323,43,1169,358,4369
POA6028,4,10,0,185,5,0,0,3,3,3,0,0,3,7,143,171,0,0,0,4,0,0,0,0,0,12,6,25,444,81,8,292,35,236,17,122,24,472,152,1883
POA6029,3,8,0,53,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,0,3,3,7,50,15,0,35,0,29,0,32,9,112,23,301
POA6030,3,15,0,179,13,0,0,4,0,5,0,4,3,20,236,285,5,7,3,0,0,3,0,0,3,30,19,72,772,132,32,450,67,364,32,204,37,1107,279,3481
POA6031,0,0,0,49,0,0,0,3,0,3,0,0,0,7,100,125,8,0,0,0,0,0,0,0,0,4,8,19,442,58,13,201,35,121,12,68,6,214,106,1271
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,3,0,3,0,24
POA6033,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,3,0,10,5,43
