POA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA6000,0,3,3,6,4,3,0,11,0,37,15,55,41,49,23,27,3,74,3,297,199,686,306,125,134,62,57,112,21,1704,140,324,76,39,48,28,36,36,20,746,113,115,53,19,47,13,17,16,8,388,68,80,37,11,20,7,18,21,3,269,16,23,4,4,7,3,4,3,0,74,4,3,3,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,4,559,1288,523,252,288,142,135,280,59,3538,3,0,3,6,4,21,0,3,0,46,31,56,19,110,44,52,0,27,7,350,173,526,85,188,199,85,3,93,16,1366,83,198,26,40,92,14,3,20,4,482,51,84,12,27,59,11,3,26,6,274,28,42,11,14,58,16,0,6,0,177,7,18,3,5,9,4,0,3,3,50,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,374,927,160,392,464,204,15,178,43,2758
POA6003,0,0,0,4,0,4,0,3,0,11,8,18,17,14,0,3,3,15,0,81,74,177,90,44,20,26,18,58,15,516,42,76,33,13,19,11,9,16,3,218,30,34,12,10,15,8,8,6,3,132,20,25,11,3,8,9,0,3,0,79,6,7,0,5,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,173,341,164,97,63,60,45,108,23,1070,0,0,0,3,3,4,0,3,0,19,9,24,0,30,21,25,0,6,0,117,50,165,47,70,71,36,4,22,3,474,36,49,6,9,29,9,0,9,0,146,11,33,3,9,15,3,0,6,4,81,8,22,3,3,18,5,0,4,0,72,0,8,0,0,3,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,300,63,126,161,81,6,56,16,930
POA6004,0,0,4,14,0,8,0,10,0,28,22,53,53,48,20,29,11,54,9,305,182,567,247,99,82,66,54,127,22,1436,134,232,78,36,38,22,25,27,7,612,131,105,52,15,35,18,24,31,13,421,113,120,37,9,27,16,15,8,3,338,29,32,11,4,10,6,3,8,7,110,8,4,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,610,1111,477,224,220,169,128,263,57,3268,0,0,0,11,3,15,0,9,0,43,20,79,17,94,49,33,3,17,7,329,126,447,82,163,181,75,6,88,19,1187,88,159,22,25,70,19,0,27,5,422,57,93,14,43,54,27,0,9,11,309,51,79,9,18,53,27,0,17,10,258,3,26,0,3,32,8,0,3,8,77,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,346,883,151,358,443,206,16,166,53,2621
POA6005,0,0,3,3,0,5,3,0,0,14,10,39,25,28,11,13,3,27,0,157,82,365,112,56,57,32,27,45,18,783,56,155,44,19,20,9,14,17,14,351,56,69,16,10,17,5,7,6,3,195,35,45,15,4,18,5,12,7,0,147,11,21,10,3,3,9,0,4,0,54,4,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,267,694,222,117,125,82,72,112,34,1718,0,0,0,5,0,7,0,4,0,23,10,35,4,33,28,29,0,17,0,163,76,353,27,99,91,44,0,39,15,739,39,96,11,22,46,8,0,8,0,233,28,55,3,9,42,11,0,0,0,154,22,32,4,10,25,5,0,12,0,111,3,5,0,6,13,8,0,0,0,36,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,181,577,51,189,249,110,4,75,18,1464
POA6006,0,5,9,14,3,15,3,13,0,64,9,38,41,36,9,16,7,22,6,185,89,252,140,51,44,39,24,39,5,681,125,228,74,26,41,26,24,26,7,569,133,186,76,6,30,26,17,16,7,498,68,105,51,13,24,17,17,10,0,310,21,22,16,0,9,3,4,11,3,87,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,449,840,401,138,155,140,97,137,37,2396,0,3,7,15,3,33,0,9,0,76,6,46,10,55,43,50,0,14,4,218,66,325,30,93,88,37,3,17,5,664,83,240,17,40,88,28,0,17,13,521,80,200,21,33,111,26,3,20,3,488,35,103,13,31,63,17,0,14,3,271,6,14,5,3,14,4,0,3,0,55,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,275,932,100,265,414,190,7,89,27,2307
POA6007,0,3,3,3,0,13,3,16,0,38,8,26,20,37,12,23,6,21,0,154,78,335,115,46,54,37,24,44,3,729,104,226,52,23,35,7,14,16,10,492,77,121,37,13,21,11,15,13,6,319,53,87,28,8,12,15,16,12,4,234,11,37,10,0,6,0,8,4,0,73,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,341,837,262,129,141,107,73,124,27,2046,0,7,0,12,3,18,0,6,0,52,14,57,6,64,28,24,3,8,0,205,59,364,39,81,83,44,3,19,10,707,73,220,14,27,52,20,0,11,9,420,53,134,14,17,68,14,3,3,6,308,30,100,12,23,45,20,0,8,0,229,7,29,0,4,16,6,0,9,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,236,909,94,225,299,148,9,58,23,1997
POA6008,3,7,4,25,3,41,0,31,0,114,17,64,43,49,20,46,8,44,11,295,122,503,126,55,55,41,13,42,11,984,199,430,72,26,38,22,12,33,20,856,213,353,59,14,48,12,17,28,12,761,151,308,48,14,29,28,7,22,3,616,62,127,14,5,10,17,5,16,3,262,4,20,0,3,3,3,0,7,3,43,0,0,0,0,0,0,0,0,0,3,777,1812,363,198,209,218,67,223,60,3927,0,8,0,51,3,46,0,12,3,128,20,96,9,89,42,57,0,6,0,323,98,545,39,102,120,53,3,15,8,980,110,372,23,45,105,31,3,23,17,726,119,389,24,48,142,23,0,18,10,777,83,269,20,42,118,40,0,10,3,574,27,87,3,13,37,13,0,0,3,182,0,5,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,452,1770,120,385,578,254,10,88,48,3698
POA6009,0,24,14,66,15,47,13,55,0,237,26,125,52,113,37,77,27,83,4,543,64,357,62,51,39,36,18,41,14,679,161,392,43,25,34,17,18,29,15,737,287,463,30,16,34,32,6,15,11,898,188,400,33,12,25,35,12,11,16,728,99,185,12,5,19,15,5,9,8,356,15,40,0,4,8,3,0,3,0,72,0,5,0,0,0,0,0,0,0,6,842,1994,252,286,211,266,105,243,70,4269,0,20,6,110,13,104,0,24,0,292,14,132,12,138,67,115,0,21,9,514,36,285,17,68,71,31,0,21,3,540,95,384,13,34,105,25,3,15,8,675,128,398,17,40,146,49,3,3,13,788,72,316,17,40,129,31,0,6,16,632,30,99,3,14,55,12,0,3,0,220,3,13,0,0,16,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,387,1647,88,436,612,356,13,96,45,3683
POA6010,3,10,13,52,9,40,14,31,0,171,23,72,49,89,26,72,11,41,3,379,88,302,78,93,31,35,9,21,21,674,214,325,36,56,34,25,16,17,16,743,279,405,52,20,37,38,8,22,18,881,217,298,46,20,36,17,10,17,11,672,101,167,14,3,19,30,4,17,12,365,15,30,3,5,4,6,0,0,5,74,0,3,0,0,0,0,0,0,0,6,938,1601,290,332,191,261,90,174,83,3960,0,12,3,64,10,80,0,20,4,192,12,63,8,81,48,76,0,13,0,307,65,341,28,56,85,43,0,11,4,639,104,324,14,46,107,36,0,0,6,638,134,440,30,57,162,36,3,12,5,874,97,289,18,56,132,44,3,13,9,665,42,86,9,19,62,17,0,0,5,234,4,11,0,3,8,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,453,1572,110,386,610,330,11,69,38,3579
POA6011,0,4,6,17,3,24,8,17,0,78,6,38,22,36,11,20,6,21,3,167,59,178,56,25,21,22,10,17,15,397,109,197,32,5,16,20,6,4,7,394,204,234,21,12,20,21,9,6,10,522,170,209,28,3,18,24,9,10,10,472,67,81,5,3,10,8,0,7,6,196,14,12,0,0,3,6,0,0,4,37,4,0,0,0,0,0,0,0,0,7,637,951,163,94,100,134,44,89,54,2269,0,6,3,56,8,35,0,6,0,117,8,61,12,47,23,30,0,5,0,186,48,265,7,37,43,20,0,4,5,430,69,176,9,18,44,14,0,0,9,341,67,250,8,30,76,21,0,7,11,469,54,175,8,30,64,21,0,7,7,370,23,43,0,8,30,6,0,0,0,114,0,5,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,276,990,51,216,289,150,0,36,35,2041
