POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6000,3,5,8,13,10,27,0,14,4,84,46,117,57,165,64,76,11,107,9,651,371,1213,388,317,328,141,64,206,38,3067,220,519,107,79,146,38,36,54,26,1225,162,194,64,41,104,22,22,36,15,668,93,126,47,25,77,23,13,31,7,449,23,42,6,5,20,4,4,8,4,124,4,3,5,0,4,5,0,0,0,21,3,0,0,0,0,0,0,0,0,4,930,2217,683,650,752,349,153,457,100,6291
POA6003,0,0,0,11,3,11,0,6,0,32,15,37,17,44,24,30,3,20,3,200,125,345,138,110,91,56,23,81,19,995,76,127,35,23,47,14,12,21,7,362,38,62,18,20,28,19,8,16,4,217,34,51,12,7,28,9,0,8,0,148,5,13,0,6,3,0,4,3,4,42,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,291,643,226,227,221,145,51,159,34,1997
POA6004,0,0,3,20,3,25,0,14,0,73,48,133,72,142,69,63,13,74,21,631,308,1013,332,263,260,143,61,217,38,2625,221,390,105,61,109,44,28,55,18,1028,184,201,60,62,92,44,22,41,16,728,159,195,44,22,80,43,18,22,9,593,30,59,8,11,37,16,3,14,10,191,8,4,0,3,3,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,959,2001,623,578,665,370,138,435,112,5888
POA6005,0,0,3,9,0,8,3,7,0,37,25,76,29,65,38,48,5,35,0,325,165,713,138,154,145,70,28,77,34,1524,99,255,50,46,64,21,14,24,14,585,89,125,19,21,58,18,11,10,6,349,59,78,18,16,46,12,14,19,0,250,12,25,11,5,21,11,0,4,0,93,4,4,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,446,1272,278,306,374,198,73,188,56,3189
POA6006,0,4,13,29,3,52,3,26,0,131,22,80,50,88,47,67,10,31,10,401,157,575,170,142,135,76,26,60,7,1351,215,468,94,59,127,50,24,38,21,1091,211,385,91,44,139,44,21,36,10,983,104,206,67,38,85,32,17,20,7,585,24,43,19,3,24,11,6,14,3,144,0,4,4,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,729,1778,500,407,566,331,106,226,64,4705
POA6007,0,8,3,17,3,29,3,23,0,87,20,84,32,98,37,49,5,29,0,354,142,694,156,122,136,79,23,66,8,1434,178,451,63,46,89,30,14,25,13,914,129,254,51,32,87,30,17,14,7,625,86,187,39,31,57,29,17,16,8,463,15,64,9,6,21,6,8,7,0,146,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,575,1753,355,357,439,258,81,185,45,4039
POA6008,3,13,3,72,8,86,0,47,7,245,33,162,55,136,65,104,8,45,10,617,213,1051,166,159,176,98,17,59,15,1964,309,798,91,74,144,56,14,55,40,1579,334,744,86,59,196,38,19,48,20,1536,235,574,63,54,149,70,7,29,4,1193,85,211,19,18,50,22,5,16,3,440,12,27,0,3,4,3,0,7,3,54,0,0,0,0,0,0,0,0,0,4,1224,3584,482,580,789,477,75,309,111,7628
POA6009,0,48,17,180,37,150,17,77,3,524,44,254,68,253,105,190,31,105,14,1054,104,642,80,112,107,72,22,62,13,1219,257,781,56,54,141,39,23,46,22,1408,418,865,50,49,180,79,8,20,26,1692,260,716,54,49,158,64,12,18,32,1362,125,290,23,21,80,24,5,12,8,574,26,49,0,4,20,3,0,6,6,108,0,5,0,0,0,0,0,0,0,6,1232,3638,340,725,822,621,117,338,120,7951
POA6010,3,18,14,117,19,116,12,55,7,362,34,135,57,171,75,143,14,57,7,680,150,641,105,151,120,81,16,33,26,1310,316,641,53,103,138,61,19,17,24,1381,411,843,87,77,202,71,10,33,27,1752,313,588,63,77,167,65,12,30,14,1335,135,257,24,16,83,44,4,17,15,592,23,45,3,8,5,13,0,3,7,105,0,6,0,0,0,0,0,0,0,6,1393,3179,403,717,803,588,93,238,127,7538
POA6011,0,12,3,69,8,62,8,30,0,195,20,99,31,78,40,48,6,31,7,346,115,438,63,62,64,33,10,26,19,826,178,379,40,24,61,29,6,7,10,735,270,478,31,34,94,39,9,12,20,992,224,388,39,30,77,46,4,15,15,841,88,124,5,15,44,16,0,4,6,315,9,20,0,0,3,4,0,4,10,55,4,5,0,0,0,0,0,0,0,11,913,1941,215,309,388,286,46,123,86,4312
