POA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
POA6000,12,8,11,23,76,146,86,191,5,559,44,46,48,54,220,376,190,302,9,1288,18,18,62,34,83,118,74,113,0,523,16,37,47,38,40,22,24,33,3,252,8,11,20,16,66,73,30,53,4,288,3,23,18,19,24,23,10,31,0,142,10,11,6,12,20,11,18,42,3,135,10,48,70,35,21,30,24,36,5,280,3,3,3,3,7,8,3,8,15,59,128,209,284,232,561,808,455,812,39,3538,15,7,29,25,90,68,57,80,4,374,42,49,72,82,181,249,113,141,6,927,5,23,28,17,37,26,9,13,0,160,15,74,116,62,50,34,20,22,8,392,12,47,37,33,149,110,36,45,0,464,13,49,36,27,30,26,11,13,3,204,0,0,0,0,6,3,0,6,0,15,3,40,55,29,15,6,5,22,6,178,0,5,5,4,3,8,3,5,9,43,106,280,383,267,558,523,258,352,34,2758
POA6003,4,0,10,15,15,35,25,69,0,173,7,15,18,9,55,98,54,69,0,341,3,8,19,6,19,38,19,43,3,164,0,18,19,15,12,14,6,10,0,97,4,0,6,3,21,15,12,10,0,63,5,6,6,0,11,9,5,8,0,60,5,5,0,0,11,5,0,18,0,45,3,20,27,15,12,13,6,16,0,108,4,0,0,0,0,5,0,0,4,23,33,76,111,69,159,228,135,240,15,1070,5,4,3,8,14,24,16,39,0,116,7,17,20,22,61,65,49,61,4,300,0,6,5,11,17,12,3,7,0,63,8,22,30,20,22,15,4,5,3,126,11,12,10,9,48,44,14,12,5,161,0,21,9,12,18,9,3,5,0,81,0,0,0,0,3,0,0,0,0,6,0,5,26,11,3,0,4,7,0,56,0,0,3,0,4,0,0,0,3,16,34,88,104,97,194,164,93,133,17,930
POA6004,19,18,15,17,80,152,86,225,4,610,32,41,48,36,169,381,134,268,6,1111,23,18,65,24,78,99,43,119,14,477,9,30,44,28,28,34,18,24,9,224,6,8,14,9,67,55,34,30,0,220,3,15,17,17,26,36,18,34,0,169,4,5,16,8,18,18,16,33,10,128,8,33,73,34,21,37,14,38,3,263,8,3,4,5,9,9,7,8,11,57,111,164,295,190,489,813,371,773,52,3268,12,8,19,25,62,87,40,87,0,346,43,49,65,73,181,255,100,112,7,883,6,14,27,7,40,25,13,17,0,151,13,64,96,50,58,43,8,17,11,358,15,23,42,38,136,117,30,43,3,443,9,44,28,26,42,31,4,14,0,206,3,0,3,0,0,0,0,4,0,16,3,45,64,15,18,15,0,9,0,166,6,6,5,3,11,9,3,3,14,53,107,243,348,241,559,583,204,302,41,2621
POA6005,6,3,11,12,29,73,40,87,3,267,21,27,20,25,114,234,96,157,0,694,6,13,16,16,29,47,29,59,3,222,7,22,12,20,14,18,6,9,0,117,3,8,5,4,26,38,11,17,0,125,0,14,8,5,18,11,10,22,0,82,7,6,8,8,9,9,13,21,3,72,6,12,39,11,7,16,5,14,0,112,0,0,3,0,4,6,3,3,7,34,53,102,112,111,256,451,221,391,22,1718,6,7,3,11,36,37,35,39,0,181,28,27,44,39,118,148,89,91,3,577,0,0,6,5,14,11,9,3,5,51,5,41,33,28,44,15,11,11,4,189,8,24,10,23,75,69,23,19,0,249,3,22,18,18,26,11,6,6,0,110,3,0,0,0,0,0,0,0,0,4,0,20,34,12,7,3,0,0,4,75,0,3,0,0,3,0,0,0,10,18,45,146,148,141,319,293,171,177,31,1464
POA6006,3,10,3,11,44,113,82,175,3,449,16,45,39,50,128,241,120,198,6,840,9,21,25,23,67,99,49,97,5,401,0,31,23,12,17,18,16,12,0,138,3,12,7,18,34,36,21,25,3,155,0,26,14,10,18,18,12,36,3,140,3,10,8,14,16,16,9,21,4,97,0,30,26,10,15,15,5,17,0,137,0,8,0,0,3,4,0,9,5,37,42,191,153,152,347,570,319,597,30,2396,11,16,15,20,41,65,47,65,0,275,42,93,124,126,163,177,89,114,4,932,4,22,16,17,17,10,5,14,0,100,11,63,54,45,40,19,16,9,3,265,19,58,68,68,93,62,27,15,0,414,5,65,38,29,25,9,6,14,4,190,0,0,3,3,3,0,0,0,0,7,0,33,28,11,11,7,0,9,0,89,0,3,3,3,0,3,0,3,5,27,88,346,343,328,397,348,196,239,19,2307
POA6007,10,10,14,11,41,80,47,131,0,341,15,32,30,51,109,257,144,186,3,837,9,16,18,14,46,67,25,71,0,262,7,24,30,12,12,19,12,12,3,129,3,8,9,11,32,42,21,25,0,141,4,25,6,11,14,16,10,24,0,107,3,7,6,6,17,4,12,23,0,73,7,29,21,19,12,18,6,11,0,124,3,0,0,3,3,5,3,5,0,27,54,143,133,143,282,517,282,480,13,2046,13,11,7,26,32,59,33,57,0,236,39,72,115,102,168,188,110,109,9,909,5,8,7,11,26,19,7,9,3,94,4,44,53,42,42,20,3,13,4,225,11,35,42,36,79,56,19,13,0,299,4,49,18,18,15,23,7,10,3,148,0,0,0,0,0,0,3,3,0,9,0,19,17,8,11,3,0,0,0,58,0,0,0,0,3,7,0,6,0,23,78,246,262,233,371,373,181,222,25,1997
POA6008,15,49,38,30,57,176,124,287,0,777,38,106,81,113,225,485,267,484,12,1812,3,18,16,20,56,103,47,98,0,363,6,54,25,25,22,23,15,17,8,198,8,21,16,16,30,57,24,40,0,209,9,65,38,16,10,27,18,39,3,218,5,4,3,7,6,12,6,18,0,67,10,58,47,31,22,21,11,24,4,223,4,4,8,5,4,5,0,17,13,60,90,386,269,256,432,910,511,1015,45,3927,15,25,29,47,59,106,70,100,5,452,75,191,225,245,256,355,173,238,15,1770,7,17,14,22,25,20,7,14,0,120,23,122,63,66,62,29,15,10,3,385,19,104,86,74,117,108,42,30,3,578,11,94,44,38,23,20,15,15,4,254,0,0,3,0,0,4,0,0,0,10,3,29,19,20,12,3,0,3,0,88,0,7,8,3,9,9,0,0,8,48,150,591,477,504,558,644,325,408,41,3698
POA6009,21,54,34,48,66,165,87,365,4,842,33,192,104,128,196,464,232,605,26,1994,11,31,26,19,39,54,34,39,3,252,11,128,47,21,15,21,11,20,8,286,8,39,15,15,33,40,16,34,10,211,12,93,32,23,17,32,11,45,3,266,6,41,13,11,11,9,3,11,0,105,6,122,41,14,12,3,10,12,16,243,3,8,8,12,4,14,3,20,8,70,113,715,314,293,399,802,402,1148,78,4269,12,40,33,40,40,85,49,94,4,387,59,282,249,233,193,258,137,222,7,1647,5,34,6,10,17,5,3,10,0,88,24,196,78,59,24,19,6,9,13,436,22,170,126,87,72,71,23,28,9,612,21,171,48,37,23,25,13,4,13,356,0,3,3,0,0,0,0,0,0,13,6,61,12,12,3,3,0,0,0,96,7,4,4,3,4,6,3,5,17,45,158,953,569,480,366,480,231,376,64,3683
POA6010,17,46,38,45,60,211,138,382,3,938,30,128,86,86,158,388,212,504,11,1601,4,29,17,19,52,73,23,62,4,290,12,106,22,26,29,39,23,65,6,332,0,32,17,9,25,37,29,35,3,191,12,77,29,32,19,26,13,50,0,261,0,22,3,13,10,14,6,24,0,90,7,59,29,16,13,17,3,20,0,174,0,8,5,0,12,18,8,18,13,83,84,510,260,250,372,825,450,1156,48,3960,16,45,51,47,40,79,54,112,5,453,60,248,245,248,192,257,119,188,8,1572,3,26,18,11,17,15,14,12,0,110,13,173,62,60,31,19,10,19,4,386,7,156,110,83,97,87,35,27,3,610,10,136,49,47,28,19,12,17,6,330,0,5,0,0,0,3,0,0,0,11,3,28,7,6,4,3,0,4,0,69,3,9,4,4,0,4,0,3,14,38,113,834,554,516,412,497,238,373,36,3579
POA6011,16,26,22,42,41,136,68,278,8,637,18,59,50,62,73,233,113,341,0,951,5,11,12,11,25,51,14,32,3,163,4,40,24,8,5,8,8,10,0,94,0,17,7,9,16,18,15,24,0,100,4,44,12,5,11,20,7,33,0,134,3,12,5,0,4,7,0,14,0,44,3,39,10,5,4,8,3,12,3,89,0,8,4,3,3,14,6,18,6,54,55,251,146,151,181,485,239,744,22,2269,14,32,21,33,25,55,25,62,6,276,52,165,134,125,123,172,88,127,10,990,3,11,11,3,4,5,3,6,0,51,8,91,42,30,17,9,9,8,7,216,0,79,51,53,28,51,4,16,4,289,3,59,25,19,5,7,6,16,0,150,0,0,0,0,0,0,0,0,0,0,3,17,3,9,3,3,0,0,0,36,0,8,5,3,0,4,0,5,10,35,81,458,292,273,212,320,146,239,29,2041
