POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6000,30,16,37,41,169,215,143,274,7,930,88,95,117,135,401,621,303,444,16,2217,27,44,91,52,118,143,85,134,0,683,30,106,159,99,92,58,43,61,7,650,24,61,59,45,212,181,73,92,4,752,15,70,58,42,50,45,28,43,3,349,10,11,12,12,21,16,18,49,3,153,14,86,131,65,38,42,21,55,13,457,3,4,8,11,12,14,6,20,25,100,235,491,668,498,1116,1332,716,1167,77,6291
POA6003,8,6,10,23,34,62,48,107,3,291,17,35,41,33,122,164,99,131,3,643,3,12,26,17,42,44,26,50,3,226,5,45,43,40,31,25,9,17,8,227,16,12,18,15,66,54,23,14,3,221,5,29,23,15,32,22,11,21,0,145,6,3,0,3,9,5,3,17,0,51,3,25,50,24,15,11,9,16,0,159,4,3,7,3,4,5,3,0,5,34,62,162,213,166,356,398,233,368,30,1997
POA6004,36,19,32,48,143,236,131,313,6,959,73,85,115,110,350,635,232,375,14,2001,25,28,88,31,126,124,58,132,15,623,18,90,143,77,87,77,29,38,16,578,20,39,50,49,199,168,68,73,3,665,10,63,47,45,66,66,16,50,0,370,9,7,17,8,24,18,16,35,10,138,13,77,135,45,47,52,20,44,9,435,9,9,4,6,14,18,9,16,22,112,220,407,641,430,1047,1398,575,1070,95,5888
POA6005,9,11,11,24,67,107,77,133,3,446,47,48,62,70,232,384,183,248,8,1272,6,12,27,16,46,55,38,68,3,278,9,66,45,49,60,39,16,21,7,306,7,31,19,35,105,104,42,36,0,374,3,37,25,26,39,21,22,22,0,198,11,6,8,8,9,9,13,21,3,73,6,35,65,22,15,20,11,13,4,188,0,3,0,0,4,10,4,7,19,56,99,248,264,249,572,746,394,570,49,3189
POA6006,15,24,14,32,87,176,130,244,3,729,55,138,157,175,291,419,207,312,15,1778,15,40,41,41,87,106,52,111,7,500,11,97,81,60,58,38,33,21,6,407,24,73,77,82,132,93,51,37,3,566,6,86,53,43,38,34,17,46,7,331,3,14,10,12,16,16,4,21,4,106,0,65,51,25,25,25,7,23,4,226,0,8,4,3,6,7,0,19,13,64,135,541,496,475,739,911,511,837,57,4705
POA6007,19,21,20,32,70,140,84,187,3,575,62,112,141,153,276,450,256,299,9,1753,5,28,31,25,66,83,29,79,3,355,12,65,78,59,60,35,14,25,7,357,18,40,47,45,112,95,42,38,0,439,8,66,27,26,32,37,18,35,3,258,3,7,6,11,17,10,12,22,0,81,9,49,39,28,23,19,9,9,3,185,3,0,0,3,7,13,7,8,3,45,137,392,393,379,658,888,466,703,36,4039
POA6008,28,75,61,79,118,280,192,386,5,1224,116,297,309,358,485,832,441,728,26,3584,8,39,27,36,79,118,55,114,0,482,31,176,85,87,82,56,34,29,10,580,27,130,99,87,145,164,69,68,6,789,20,158,81,52,33,51,28,53,7,477,5,6,4,7,7,19,6,18,0,75,11,90,60,46,37,22,9,20,6,309,4,14,12,9,13,17,5,19,24,111,241,979,745,757,994,1558,839,1426,88,7628
POA6009,26,95,65,86,106,250,140,455,8,1232,96,478,359,358,387,729,371,828,42,3638,15,63,36,30,56,60,38,42,6,340,35,324,123,87,42,38,15,28,23,725,29,207,146,105,105,109,38,64,13,822,33,268,83,63,41,55,19,51,15,621,5,39,19,8,11,9,3,18,0,117,12,182,53,23,17,7,15,17,12,338,5,14,9,14,8,22,6,21,24,120,273,1668,883,771,763,1282,638,1530,144,7951
POA6010,34,94,87,91,101,293,188,495,10,1393,92,370,333,336,353,649,330,691,22,3179,11,50,34,34,62,91,40,71,4,403,21,280,86,93,54,60,28,80,13,717,7,192,132,95,120,127,60,60,10,803,19,217,81,73,45,44,30,65,9,588,0,27,3,13,10,10,6,22,0,93,11,90,44,28,22,13,4,29,0,238,0,18,10,7,9,26,8,18,27,127,201,1339,817,767,782,1318,693,1531,88,7538
POA6011,23,60,50,82,67,193,95,335,9,913,69,219,185,191,194,408,207,463,8,1941,4,23,22,17,31,55,17,44,3,215,10,128,61,38,20,19,10,17,7,309,0,90,56,58,49,70,19,37,6,388,12,106,37,24,12,26,13,45,3,286,3,12,3,0,4,7,0,14,0,46,3,53,18,15,11,11,3,12,3,123,0,17,6,3,6,12,6,21,16,86,131,704,434,430,393,802,379,981,50,4312
POA6012,12,37,39,54,54,156,104,250,6,720,46,166,174,161,182,343,133,309,18,1531,17,29,22,26,38,65,29,61,8,300,24,117,81,59,39,30,8,23,9,397,13,103,75,49,94,60,28,29,3,458,6,104,44,33,37,27,28,27,0,321,3,12,7,9,3,6,13,13,0,62,6,65,42,32,24,17,10,18,3,218,0,3,3,4,8,7,3,9,19,59,126,649,495,430,489,725,352,740,61,4059
POA6014,41,71,87,99,163,392,242,526,17,1632,128,379,439,456,530,863,425,733,27,3978,32,47,59,57,149,178,97,145,5,771,39,283,147,150,113,90,40,38,8,909,39,196,168,154,233,213,83,85,18,1174,20,245,108,91,68,78,46,80,14,751,6,26,25,19,36,32,19,42,3,209,18,185,195,70,53,38,22,34,10,628,5,11,13,18,15,14,5,13,26,117,325,1443,1242,1102,1357,1892,985,1697,115,10168
POA6015,13,36,36,37,41,130,81,207,4,587,28,175,130,134,120,212,135,258,3,1191,6,19,17,14,23,37,11,29,3,162,5,118,27,28,3,14,12,15,6,228,3,75,74,46,49,39,13,28,7,335,15,112,35,24,12,22,6,27,10,250,0,8,5,6,3,6,0,6,0,32,3,40,7,3,3,10,3,12,0,90,6,14,3,3,0,7,3,7,15,60,81,594,336,298,254,476,266,579,44,2921
POA6016,12,14,41,50,97,182,100,218,3,721,88,154,182,197,288,427,218,316,13,1870,21,38,41,43,100,130,59,85,5,519,23,111,98,76,62,61,23,34,6,492,21,73,79,67,165,117,51,34,14,623,14,120,57,40,56,47,20,45,7,408,8,16,18,19,33,33,19,26,4,176,11,125,157,46,51,33,7,20,10,460,3,6,3,3,7,10,3,6,20,58,190,660,674,543,870,1035,493,793,72,5322
POA6017,3,4,11,12,51,47,39,42,9,214,18,35,27,39,129,131,56,66,3,502,8,12,14,24,75,82,45,40,7,300,9,42,47,52,67,27,16,20,5,281,8,12,32,32,108,77,24,24,4,328,11,22,48,29,38,22,14,10,0,188,0,10,9,17,31,18,18,30,3,138,7,51,85,38,48,24,6,24,6,292,0,0,3,0,8,9,3,3,5,30,68,182,279,241,549,440,209,272,42,2284
POA6018,68,106,108,155,333,644,454,863,17,2743,242,489,602,593,947,1479,736,1008,35,6126,83,141,130,172,364,556,293,512,36,2285,62,443,301,315,214,191,101,100,22,1749,76,362,333,345,563,477,195,183,23,2562,61,505,232,184,169,163,97,160,12,1590,28,58,44,51,66,77,60,127,10,518,39,282,127,111,93,114,46,126,26,966,7,28,21,25,17,46,18,30,63,253,668,2419,1901,1961,2758,3753,1986,3114,236,18797
