POA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6000,156,105,258,366,339,705,3,0,5,0,0,3,9,11,21,1240,833,2072,77,140,217,15,3,16,34,7,41,129,55,186,78,29,104,888,709,1600,2996,2238,5227,48,53,104,0,0,0,0,0,0,3,8,6,7,0,7,6,8,15,65,68,129,0,0,0,0,0,0,11,4,13,4,5,8,6,5,15,23,15,45,10,4,20,99,91,195,8,5,12,4,3,7,0,0,0,14,13,21,115,105,219,265,293,557,46,18,70,3538,2758,6291
POA6003,29,27,49,133,155,286,0,0,0,0,0,0,6,10,15,465,330,795,29,51,89,3,0,3,12,3,14,44,21,68,19,3,25,158,153,309,891,751,1645,24,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,26,28,54,0,0,0,0,0,0,0,3,4,0,0,0,3,0,3,6,3,10,4,6,9,35,33,73,3,0,4,0,0,0,0,0,0,7,0,5,35,31,65,80,105,181,16,10,29,1070,930,1997
POA6004,94,78,172,684,655,1342,3,0,3,0,0,3,13,14,32,1259,803,2062,82,141,223,4,0,3,17,9,28,71,30,99,63,10,74,467,374,844,2758,2118,4880,61,77,141,0,0,0,0,0,0,3,3,6,3,0,7,6,0,8,76,83,158,0,0,0,0,0,0,13,3,23,4,6,13,14,7,22,37,22,56,11,9,20,119,115,236,11,13,19,10,3,11,4,0,6,21,16,39,98,89,193,230,257,484,39,28,68,3268,2621,5888
POA6005,56,57,109,249,240,490,0,0,0,0,0,0,8,8,15,710,541,1249,42,60,104,3,0,3,12,9,21,59,32,90,26,10,34,307,245,552,1471,1206,2680,33,35,65,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,34,38,73,0,0,0,0,0,0,4,3,3,0,0,0,3,5,13,7,7,18,14,5,16,59,51,106,8,6,9,0,0,0,3,0,3,10,8,19,58,56,113,115,136,253,6,12,24,1718,1464,3189
POA6006,4,13,22,289,252,541,0,0,0,0,0,0,10,6,17,1402,1249,2651,69,125,190,17,0,17,37,6,43,144,41,182,30,9,39,86,138,220,2070,1840,3910,28,23,54,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,27,30,63,0,0,0,0,0,0,3,10,11,0,10,7,7,4,10,9,24,31,19,13,28,62,66,124,0,3,3,0,0,3,4,0,4,6,3,10,104,134,240,127,255,379,25,15,36,2396,2307,4705
POA6007,122,160,287,143,149,296,0,0,0,3,0,3,10,5,17,1070,927,1991,63,99,158,4,0,4,9,4,15,106,52,158,26,7,34,155,184,342,1716,1588,3300,43,41,86,0,0,0,0,0,0,8,3,9,4,3,3,7,3,10,54,50,109,0,0,0,0,0,0,6,0,9,0,7,5,4,5,10,7,11,21,13,4,23,82,69,152,10,3,14,3,0,6,0,0,0,12,10,18,85,105,192,136,212,351,11,14,25,2046,1997,4039
POA6008,247,225,470,386,317,703,0,0,0,3,0,3,17,13,25,1797,1647,3442,99,199,297,15,0,15,46,10,53,257,114,368,58,20,75,357,370,727,3271,2915,6184,41,32,76,0,0,0,0,0,0,9,7,9,3,4,9,8,4,15,65,45,110,0,0,0,0,0,0,6,7,9,7,6,13,8,5,12,20,14,38,22,12,33,104,77,186,11,5,11,6,0,6,0,0,5,15,8,25,236,253,488,262,413,675,40,33,73,3927,3698,7628
POA6009,38,39,74,333,241,583,0,0,0,0,0,0,15,10,18,2375,1915,4298,125,212,336,10,0,11,42,3,43,226,73,300,45,19,72,311,243,552,3519,2756,6275,27,13,42,0,0,0,0,0,0,13,14,19,0,0,6,0,0,0,35,33,65,0,0,0,0,0,0,8,12,14,3,9,14,14,0,16,24,23,41,34,12,43,89,68,155,7,5,12,0,0,3,3,0,3,10,12,23,279,334,612,333,478,811,42,42,83,4269,3683,7951
POA6010,266,198,465,178,117,292,0,3,3,0,0,0,6,3,12,2304,1992,4301,107,193,303,12,0,12,26,11,39,165,41,207,49,19,61,184,142,325,3308,2710,6021,19,30,46,0,0,0,0,0,0,10,30,34,3,8,12,8,0,9,38,63,99,0,0,0,0,0,0,3,3,13,3,9,10,5,0,5,10,8,25,36,11,49,93,88,173,12,16,25,0,0,3,0,0,4,15,17,30,268,318,593,239,429,662,33,15,54,3960,3579,7538
POA6011,200,171,368,40,35,79,0,0,0,3,0,6,0,3,3,1419,1151,2574,38,97,129,3,0,3,17,0,16,85,26,111,31,11,40,78,56,139,1920,1559,3477,10,12,13,0,0,0,0,0,0,3,8,12,0,3,3,6,3,6,15,26,43,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,3,9,19,3,16,37,32,68,4,3,7,0,0,0,0,0,0,3,6,9,159,207,366,135,216,349,21,24,41,2269,2041,4312
